共 921 部电影

('5.3', '别怕黑')
('5.3', '僵尸海狸')
('5.3', '亡界之门')
('5.3', '不信地狱')
('5.3', '万圣夜惊魂')
('5.2', '骗子')
('5.2', '阁楼')
('5.2', '近道抄出命')
('5.2', '超能游戏者')
('5.2', '诚聘保姆')
('5.2', '詹妮弗的肉体')
('5.2', '藏尸楼')
('5.2', '猛鬼卡拉OK')
('5.2', '狼人镇')
('5.2', '狮口惊魂')
('5.2', '涤罪天使')
('5.2', '毁灭僵尸')
('5.2', '杀人房间')
('5.2', '旧情不散')
('5.2', '招聘小保姆')
('5.2', '恶男事件')
('5.2', '恶灵入侵')
('5.2', '婴儿少女')
('5.2', '嚎叫')
('5.2', '嗜血狂狮')
('5.2', '呼吸')
('5.2', '凶魅')
('5.2', '井')
('5.2', '临终囧事')
('5.2', '丧尸围城：瞭望塔')
('5.1', '鬼使神差2')
('5.1', '考死2：教学实习')
('5.1', '绝命休息站')
('5.1', '精神病')
('5.1', '神秘感染:第二阶段')
('5.1', '爱你至死不渝')
('5.1', '灵异医院')
('5.1', '消失在第七街')
('5.1', '杀手无名')
('5.1', '暗夜逃亡')
('5.1', '撒旦')
('5.1', '异形终结2：狩猎')
('5.1', '寂静的房子')
('5.1', '害虫横行')
('5.1', '夜空')
('5.1', '复仇之溪')
('5.1', '告诉我我是怎么死的')
('5.1', '变异编年史')
('5.1', '十月建造的房屋')
('5.1', '入侵隐私')
('5.1', '僵尸福星仔')
('5.1', '代课老师不是人')
('5.1', '丧家之女')
('5.1', '三十一')
('5.1', '7500航班')
('5.1', '1303大厦')
('5', '黑衣女人2：死亡天使')
('5', '魔鬼老巢')
('5', '鬼驱人')
('5', '邪恶幼灵')
('5', '诡森灵')
('5', '记忆的倒影')
('5', '裂口女')
('5', '美版咒怨3')
('5', '珀金斯14亡魂')
('5', '火星幽灵')
('5', '湿地')
('5', '死亡航班')
('5', '捉鬼小精灵2')
('5', '抗体')
('5', '恐怖休息站2：别回头')
('5', '彼岸岛')
('5', '幽长周末')
('5', '屠杀公园')
('5', '完美生物')
('5', '在魔鬼门前')
('5', '噬血地道')
('5', '古宅心慌慌')
('5', '亡命抢劫')
('5', '100英尺')
('4.9', '马头')
('4.9', '雾人前传')
('4.9', '邪恶之屋')
('4.9', '道士出山')
('4.9', '连锁反应')
('4.9', '航时凶间')
('4.9', '生化特警之丧尸任务')
('4.9', '灵动：鬼影实录4')
('4.9', '死于三日之内')
('4.9', '校园鬼')
('4.9', '恐怖之殿')
('4.9', '劈头士')
('4.9', '人皮客栈3')
('4.9', '万圣节10')
('4.8', '蛇机四伏')
('4.8', '自杀森林')
('4.8', '神之左手魔之右手')
('4.8', '死掉的女儿')
('4.8', '斯坦·海尔辛')
('4.8', '我叫布鲁斯')
('4.8', '奴隶区：我和我的23个奴隶')
('4.8', '夺命金字塔')
('4.8', '地下墓穴')
('4.8', '咒怨：黑少女')
('4.8', '叛逆女巫')
('4.8', '半身死灵')
('4.7', '鲨卷风3')
('4.7', '魔唇劫')
('4.7', '鬼屋大电影2')
('4.7', '雪山惊魂3')
('4.7', '重生')
('4.7', '致命弯道6：终极审判')
